WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Sloterdijk II,BU03631100,25.0,5.0,0.0,20.0,5.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,27.0,3.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,3.0,3.0,0.0,0.0,,,14.0,15.0,4.0,4.0,6.0,8.0,27.0,30.0,,432,03630000000533,F11a,462008.0,F,F11,
Sloterdijk III Oost,BU03631102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,136,03630000000535,F11c,795156.0,F,F11,
Sloterdijk III West,BU03631103,80.0,5.0,40.0,30.0,10.0,5.0,20.0,40.0,10.0,5.0,15.0,5.0,80.0,24.0,25.0,19.0,9.0,3.0,13.0,4.0,8.0,3.0,13.0,17.0,24.0,24.0,3.0,5.0,3.0,3.0,19.0,19.0,9.0,10.0,25.0,25.0,80.0,83.0,,433,03630000000536,F11d,2114379.0,F,F11,
De Heining,BU03631104,20.0,5.0,5.0,5.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,4.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,5.0,,,4.0,4.0,11.0,11.0,2.0,2.0,23.0,23.0,,139,03630000000537,F11e,1125572.0,F,F11,
Bretten West,BU03631109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,2.0,,,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,,142,03630023753972,F11j,1494697.0,F,F11,25.0
Houthavens West,BU03631200,1735.0,355.0,95.0,820.0,395.0,80.0,370.0,235.0,25.0,15.0,40.0,25.0,1737.0,389.0,248.0,627.0,393.0,80.0,38.0,15.0,26.0,23.0,132.0,366.0,396.0,662.0,93.0,227.0,29.0,122.0,625.0,1140.0,411.0,862.0,238.0,528.0,1763.0,3419.0,2.0,422,03630000000540,E12a,663450.0,E,E12,19.0
Teleport,BU03631105,730.0,5.0,340.0,380.0,15.0,0.0,350.0,230.0,15.0,10.0,20.0,20.0,732.0,35.0,579.0,105.0,13.0,0.0,17.0,9.0,13.0,19.0,189.0,331.0,35.0,57.0,0.0,3.0,4.0,9.0,105.0,145.0,13.0,35.0,579.0,624.0,732.0,864.0,3.0,140,03630000000538,F11f,864469.0,F,F11,3.0
Bretten Oost,BU03631107,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,,11.0,2.0,22.0,0.0,23.0,0.0,26.0,2.0,85.0,,141,03630023753978,F11h,842480.0,F,F11,21.0
Spaarndammerbuurt Zuidoost,BU03631302,1010.0,120.0,90.0,395.0,280.0,140.0,205.0,270.0,70.0,10.0,75.0,20.0,1013.0,151.0,161.0,285.0,278.0,138.0,75.0,10.0,67.0,21.0,96.0,203.0,145.0,248.0,126.0,211.0,36.0,50.0,276.0,530.0,277.0,448.0,176.0,278.0,1000.0,1715.0,2.0,77,03630000000544,E13c,56724.0,E,E13,13.0
Houthavens Oost,BU03631201,655.0,60.0,45.0,165.0,280.0,120.0,165.0,75.0,10.0,0.0,25.0,5.0,657.0,82.0,53.0,129.0,276.0,117.0,22.0,1.0,11.0,5.0,36.0,164.0,97.0,149.0,129.0,184.0,6.0,17.0,147.0,220.0,315.0,425.0,67.0,115.0,755.0,1093.0,,55,03630000000541,E12b,256246.0,E,E12,
