WijkenEnBu,BU_CODE,cbs_l1_totalpo,cbs_l2_childre,cbs_l3_student,cbs_l4_mobile_,cbs_l5_not_mob,cbs_l6_elderly,cbs_l10_wester,cbs_l10_nonwes,cbs_l10_mar,cbs_l10_ant,cbs_l10_sur,cbs_l10_tur,ois_totalpop,ois_Children,ois_Students,ois_MobileAdul,ois_NotMobileA,ois_Elderly,ois_l10_sur,ois_l10_ant,ois_l10_mar,ois_l10_tur,ois_l10_wester,ois_l10_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobile_adults,ois_gc1_2018_mobile_adults,ois_gc_2018_not_mobile_adults,ois_gc1_2018_not_mobile_adults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,BuurtID,Buurtcode,Oppervlakt,Stadsdeelc,Wijkcode,ois_gc1_2018_tur
Borneo,BU03633305,2835.0,625.0,340.0,785.0,945.0,150.0,475.0,505.0,150.0,30.0,100.0,35.0,2837.0,826.0,258.0,661.0,943.0,149.0,101.0,31.0,150.0,33.0,190.0,476.0,830.0,1030.0,153.0,236.0,56.0,78.0,675.0,802.0,965.0,1271.0,261.0,351.0,2884.0,3690.0,4.0,271,03630000000586,M33f,267324.0,M,M33,4.0
Bedrijvengebied Veelaan,BU03633308,35.0,5.0,5.0,5.0,20.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,37.0,5.0,2.0,4.0,19.0,7.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,77.0,6.0,90.0,,19.0,1.0,121.0,15.0,213.0,7.0,90.0,31.0,591.0,,240,03630000000589,M33i,51207.0,M,M33,15.0
Architectenbuurt,BU03633307,1740.0,175.0,175.0,515.0,660.0,220.0,325.0,550.0,130.0,10.0,150.0,85.0,1741.0,234.0,242.0,389.0,656.0,220.0,147.0,9.0,128.0,85.0,182.0,324.0,235.0,289.0,220.0,257.0,54.0,61.0,390.0,449.0,660.0,749.0,244.0,285.0,1749.0,2029.0,7.0,228,03630000000588,M33h,142174.0,M,M33,14.0
Zeeburgereiland Zuidwest,BU03633403,300.0,15.0,170.0,80.0,40.0,10.0,60.0,20.0,0.0,5.0,5.0,0.0,304.0,22.0,214.0,23.0,39.0,6.0,2.0,2.0,1.0,0.0,13.0,58.0,22.0,24.0,6.0,6.0,,,23.0,26.0,39.0,39.0,214.0,214.0,304.0,309.0,,275,03630000000595,M34d,276071.0,M,M34,
Nieuwe Diep/Diemerpark,BU03633404,70.0,10.0,15.0,15.0,30.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,73.0,17.0,7.0,11.0,28.0,10.0,0.0,0.0,2.0,0.0,0.0,10.0,17.0,137.0,10.0,23.0,1.0,1.0,11.0,38.0,28.0,145.0,7.0,16.0,73.0,359.0,,229,03630000000596,M34e,2399741.0,M,M34,
Bedrijvengebied Cruquiusweg,BU03633309,455.0,45.0,70.0,285.0,60.0,10.0,85.0,115.0,5.0,5.0,15.0,10.0,457.0,58.0,182.0,154.0,57.0,6.0,14.0,5.0,5.0,7.0,82.0,83.0,58.0,91.0,6.0,34.0,,13.0,154.0,206.0,57.0,178.0,182.0,206.0,457.0,715.0,,162,03630000000590,M33j,310356.0,M,M33,
Bedrijvengebied Zeeburgerkade,BU03633310,155.0,30.0,15.0,55.0,40.0,25.0,35.0,10.0,0.0,0.0,5.0,0.0,157.0,29.0,22.0,44.0,39.0,23.0,2.0,0.0,0.0,0.0,9.0,36.0,41.0,244.0,25.0,173.0,2.0,65.0,86.0,415.0,80.0,475.0,39.0,269.0,271.0,1576.0,7.0,273,03630000000591,M33k,99569.0,M,M33,19.0
Zeeburgereiland Noordwest,BU03633400,20.0,5.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,36.0,5.0,22.0,,3.0,6.0,167.0,7.0,55.0,2.0,125.0,24.0,405.0,,224,03630000000592,M34a,486630.0,M,M34,1.0
Zeeburgereiland Zuidoost,BU03633402,490.0,10.0,385.0,95.0,5.0,5.0,135.0,135.0,10.0,15.0,25.0,10.0,491.0,96.0,367.0,20.0,4.0,4.0,22.0,15.0,7.0,8.0,94.0,122.0,96.0,135.0,4.0,11.0,,11.0,20.0,64.0,4.0,25.0,367.0,483.0,491.0,718.0,,274,03630000000594,M34c,500370.0,M,M34,
Haveneiland Zuidwest/Rieteiland West,BU03633502,2820.0,735.0,405.0,575.0,975.0,140.0,480.0,595.0,75.0,30.0,190.0,55.0,2822.0,1053.0,177.0,478.0,974.0,140.0,187.0,27.0,74.0,52.0,254.0,479.0,991.0,1577.0,125.0,259.0,22.0,100.0,422.0,971.0,905.0,1362.0,155.0,431.0,2598.0,4600.0,8.0,277,03630000000599,M35c,441211.0,M,M35,27.0
Haveneiland Noordwest,BU03633504,2835.0,560.0,360.0,1050.0,665.0,210.0,555.0,1090.0,225.0,55.0,220.0,110.0,2835.0,735.0,528.0,702.0,664.0,206.0,218.0,53.0,222.0,106.0,487.0,555.0,727.0,950.0,204.0,237.0,86.0,96.0,678.0,918.0,636.0,837.0,510.0,558.0,2755.0,3500.0,18.0,278,03630023753989,M35e,667584.0,M,M35,24.0
Haveneiland Noordoost,BU03633505,5600.0,1485.0,675.0,1800.0,1405.0,245.0,935.0,2310.0,665.0,70.0,580.0,205.0,5603.0,1902.0,586.0,1470.0,1403.0,242.0,578.0,69.0,661.0,206.0,799.0,931.0,1928.0,2259.0,250.0,299.0,236.0,244.0,1507.0,1742.0,1474.0,1791.0,612.0,778.0,5771.0,6869.0,27.0,279,03630023754004,M35f,841055.0,M,M35,38.0
Woon- en Groengebied Sloterdijk,BU03633600,450.0,50.0,30.0,310.0,50.0,20.0,115.0,45.0,5.0,0.0,5.0,5.0,452.0,49.0,116.0,218.0,49.0,20.0,6.0,1.0,3.0,4.0,30.0,113.0,49.0,106.0,20.0,67.0,1.0,48.0,218.0,298.0,49.0,127.0,114.0,199.0,450.0,797.0,2.0,428,03630000000611,E36a,532101.0,E,E36,30.0
Bedrijventerrein Sloterdijk I,BU03633601,95.0,5.0,10.0,40.0,50.0,5.0,30.0,40.0,5.0,5.0,15.0,5.0,97.0,4.0,18.0,26.0,46.0,3.0,13.0,6.0,2.0,2.0,18.0,27.0,4.0,11.0,3.0,5.0,2.0,2.0,26.0,34.0,46.0,54.0,18.0,19.0,97.0,123.0,,105,03630023753957,E36b,681365.0,E,E36,
Bedrijventerrein Landlust,BU03633700,550.0,30.0,60.0,390.0,45.0,35.0,150.0,140.0,20.0,5.0,15.0,20.0,553.0,36.0,229.0,210.0,45.0,33.0,15.0,5.0,21.0,21.0,77.0,145.0,125.0,320.0,62.0,150.0,57.0,167.0,349.0,576.0,148.0,337.0,296.0,408.0,980.0,1791.0,3.0,106,03630000000612,E37a,140045.0,E,E37,5.0
Bosleeuw,BU03633702,5775.0,875.0,945.0,2265.0,1235.0,470.0,885.0,3115.0,1235.0,40.0,250.0,980.0,5779.0,1194.0,1377.0,1507.0,1231.0,470.0,250.0,38.0,1233.0,979.0,622.0,877.0,1209.0,1684.0,491.0,676.0,619.0,811.0,1589.0,2413.0,1249.0,1696.0,1462.0,2179.0,6000.0,8648.0,137.0,107,03630000000614,E37c,342857.0,E,E37,199.0
Landlust Zuid,BU03633703,3930.0,575.0,335.0,1895.0,795.0,350.0,680.0,1365.0,565.0,40.0,170.0,200.0,3934.0,708.0,673.0,1414.0,793.0,346.0,170.0,41.0,561.0,197.0,394.0,677.0,619.0,1172.0,277.0,569.0,210.0,440.0,1269.0,2072.0,694.0,1272.0,611.0,1161.0,3470.0,6246.0,48.0,108,03630000000615,E37d,216862.0,E,E37,63.0
Erasmusparkbuurt Oost,BU03633704,1950.0,365.0,230.0,785.0,450.0,135.0,400.0,635.0,255.0,15.0,80.0,100.0,1951.0,449.0,357.0,564.0,448.0,133.0,80.0,16.0,251.0,99.0,190.0,398.0,483.0,915.0,196.0,370.0,150.0,312.0,585.0,1389.0,482.0,974.0,356.0,923.0,2102.0,4571.0,,109,03630000000616,E37e,90685.0,E,E37,57.0
Oosterpark,BU03632801,120.0,5.0,15.0,60.0,45.0,15.0,30.0,25.0,0.0,0.0,15.0,0.0,123.0,6.0,35.0,30.0,41.0,11.0,12.0,0.0,1.0,0.0,11.0,26.0,32.0,357.0,82.0,308.0,6.0,61.0,102.0,628.0,112.0,608.0,96.0,598.0,424.0,2499.0,5.0,125,03630000000749,M28b,253924.0,M,M28,25.0
Zeeburgereiland Noordoost,BU03633406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,40.0,112.0,3.0,14.0,2.0,15.0,31.0,119.0,29.0,74.0,29.0,126.0,132.0,445.0,,286,03630023753991,M34g,542315.0,M,M34,2.0
Steigereiland Noord,BU03633500,1540.0,370.0,200.0,550.0,375.0,60.0,300.0,565.0,180.0,15.0,160.0,50.0,1542.0,460.0,208.0,443.0,371.0,60.0,159.0,12.0,179.0,50.0,164.0,296.0,460.0,568.0,60.0,76.0,61.0,77.0,443.0,530.0,371.0,463.0,208.0,258.0,1542.0,1895.0,11.0,248,03630000000597,M35a,864598.0,M,M35,17.0
Gibraltarbuurt,BU03633705,4275.0,570.0,430.0,2005.0,930.0,350.0,730.0,1825.0,695.0,55.0,215.0,280.0,4280.0,726.0,894.0,1379.0,931.0,350.0,213.0,56.0,695.0,278.0,583.0,726.0,669.0,996.0,317.0,459.0,327.0,431.0,1247.0,1972.0,871.0,1236.0,808.0,1335.0,3912.0,5998.0,59.0,412,03630023753958,E37f,200017.0,E,E37,85.0
RI Oost terrein,BU03633405,2760.0,360.0,520.0,1365.0,390.0,140.0,645.0,835.0,95.0,35.0,170.0,85.0,2761.0,499.0,880.0,858.0,389.0,135.0,169.0,34.0,95.0,83.0,474.0,621.0,459.0,548.0,132.0,135.0,35.0,37.0,827.0,867.0,360.0,389.0,851.0,1051.0,2629.0,2990.0,3.0,285,03630023753990,M34f,421926.0,M,M34,3.0
Landlust Noord,BU03633706,2400.0,370.0,310.0,1075.0,475.0,185.0,345.0,1160.0,500.0,30.0,145.0,230.0,2402.0,481.0,503.0,764.0,471.0,183.0,144.0,28.0,498.0,227.0,267.0,336.0,488.0,716.0,181.0,282.0,215.0,296.0,747.0,1195.0,450.0,687.0,499.0,797.0,2365.0,3677.0,16.0,113,03630023753959,E37g,98029.0,E,E37,32.0
Erasmusparkbuurt West,BU03633802,4100.0,505.0,455.0,2100.0,720.0,330.0,865.0,1140.0,340.0,40.0,95.0,315.0,4106.0,629.0,948.0,1481.0,719.0,329.0,95.0,38.0,337.0,313.0,362.0,857.0,714.0,1097.0,365.0,613.0,234.0,327.0,1601.0,2365.0,854.0,1330.0,978.0,1596.0,4512.0,7001.0,32.0,114,03630023753966,E38c,336209.0,E,E38,158.0
Robert Scottbuurt Oost,BU03633803,1780.0,220.0,205.0,870.0,355.0,140.0,300.0,615.0,225.0,10.0,50.0,195.0,1781.0,288.0,434.0,567.0,351.0,141.0,51.0,9.0,226.0,196.0,136.0,294.0,254.0,420.0,117.0,217.0,97.0,163.0,481.0,896.0,312.0,517.0,341.0,670.0,1505.0,2720.0,32.0,115,03630023753967,E38d,68866.0,E,E38,61.0
Robert Scottbuurt West,BU03633900,2095.0,190.0,385.0,950.0,330.0,250.0,330.0,905.0,310.0,25.0,115.0,190.0,2095.0,263.0,811.0,444.0,329.0,248.0,112.0,22.0,308.0,190.0,276.0,326.0,267.0,497.0,241.0,444.0,146.0,271.0,444.0,840.0,341.0,659.0,869.0,1274.0,2162.0,3714.0,26.0,116,03630000000619,E39a,148464.0,E,E39,45.0
Steigereiland Zuid,BU03633501,2660.0,745.0,385.0,635.0,810.0,95.0,335.0,825.0,210.0,50.0,205.0,60.0,2663.0,1009.0,221.0,529.0,809.0,95.0,203.0,47.0,208.0,59.0,309.0,334.0,1009.0,1065.0,95.0,105.0,77.0,91.0,529.0,604.0,809.0,867.0,221.0,255.0,2663.0,2896.0,9.0,276,03630000000598,M35b,403603.0,M,M35,17.0
Laan van Spartaan,BU03633901,2225.0,395.0,430.0,1015.0,255.0,140.0,425.0,1005.0,380.0,35.0,140.0,150.0,2229.0,502.0,694.0,644.0,253.0,136.0,138.0,36.0,379.0,149.0,317.0,414.0,505.0,767.0,136.0,185.0,141.0,203.0,651.0,936.0,255.0,420.0,727.0,1207.0,2274.0,3515.0,10.0,117,03630000000620,E39b,165772.0,E,E39,23.0
Kolenkitbuurt Zuid,BU03633902,2080.0,335.0,310.0,865.0,390.0,195.0,265.0,1195.0,555.0,15.0,105.0,355.0,2082.0,451.0,476.0,577.0,386.0,192.0,105.0,13.0,554.0,354.0,172.0,261.0,424.0,615.0,198.0,241.0,259.0,315.0,559.0,861.0,370.0,503.0,422.0,623.0,1973.0,2843.0,38.0,118,03630000000621,E39c,127939.0,E,E39,56.0
Kolenkitbuurt Noord,BU03633903,3755.0,890.0,525.0,1290.0,810.0,255.0,295.0,3020.0,1525.0,30.0,190.0,855.0,3760.0,1162.0,583.0,955.0,806.0,254.0,187.0,29.0,1523.0,853.0,428.0,286.0,1180.0,1278.0,239.0,360.0,731.0,820.0,962.0,1082.0,805.0,947.0,592.0,764.0,3778.0,4431.0,108.0,429,03630000000622,E39d,298884.0,E,E39,139.0
Jan Maijenbuurt,BU03634101,2260.0,275.0,270.0,990.0,550.0,180.0,350.0,1025.0,315.0,30.0,175.0,250.0,2260.0,370.0,481.0,681.0,549.0,179.0,173.0,27.0,316.0,247.0,262.0,348.0,340.0,592.0,180.0,341.0,157.0,266.0,672.0,1211.0,544.0,907.0,497.0,832.0,2233.0,3883.0,11.0,123,03630000000631,E41b,78363.0,E,E41,51.0
Trompbuurt,BU03634001,3200.0,430.0,385.0,1545.0,580.0,275.0,690.0,600.0,140.0,25.0,95.0,100.0,3203.0,539.0,835.0,980.0,577.0,272.0,96.0,26.0,138.0,101.0,239.0,687.0,554.0,799.0,285.0,462.0,67.0,107.0,1082.0,1791.0,610.0,988.0,897.0,1493.0,3428.0,5533.0,18.0,120,03630000000624,E40b,123086.0,E,E40,37.0
Orteliusbuurt Noord,BU03634102,1405.0,155.0,140.0,680.0,280.0,165.0,225.0,520.0,160.0,15.0,85.0,105.0,1409.0,193.0,328.0,443.0,280.0,165.0,86.0,14.0,160.0,102.0,159.0,222.0,174.0,294.0,143.0,230.0,67.0,128.0,401.0,720.0,235.0,409.0,311.0,494.0,1264.0,2147.0,7.0,124,03630000000632,E41c,42631.0,E,E41,28.0
Pieter van der Doesbuurt,BU03634002,1910.0,260.0,195.0,855.0,440.0,170.0,385.0,585.0,160.0,20.0,95.0,70.0,1913.0,331.0,428.0,549.0,437.0,168.0,95.0,17.0,158.0,71.0,245.0,381.0,260.0,695.0,141.0,325.0,49.0,122.0,439.0,1179.0,360.0,835.0,342.0,976.0,1542.0,4010.0,2.0,121,03630000000625,E40c,74954.0,E,E40,17.0
Geuzenhofbuurt,BU03634000,1700.0,120.0,175.0,1020.0,260.0,135.0,475.0,200.0,25.0,10.0,30.0,25.0,1701.0,143.0,470.0,697.0,258.0,133.0,28.0,7.0,22.0,22.0,121.0,469.0,150.0,369.0,141.0,287.0,22.0,100.0,704.0,1167.0,273.0,713.0,474.0,798.0,1742.0,3334.0,,119,03630000000623,E40a,93671.0,E,E40,41.0
Columbusplein e.o.,BU03634201,3470.0,465.0,390.0,1465.0,820.0,340.0,535.0,1475.0,520.0,40.0,190.0,285.0,3471.0,591.0,702.0,1020.0,820.0,338.0,189.0,38.0,515.0,282.0,452.0,532.0,696.0,872.0,377.0,464.0,302.0,369.0,1240.0,1587.0,959.0,1188.0,814.0,1071.0,4086.0,5182.0,71.0,127,03630000000635,E42b,155109.0,E,E42,112.0
John Franklinbuurt,BU03634100,1930.0,220.0,190.0,915.0,440.0,175.0,380.0,650.0,210.0,20.0,80.0,120.0,1930.0,281.0,429.0,609.0,437.0,174.0,81.0,22.0,207.0,118.0,224.0,379.0,261.0,511.0,147.0,269.0,89.0,164.0,556.0,1061.0,373.0,760.0,416.0,750.0,1753.0,3351.0,6.0,122,03630000000630,E41a,74919.0,E,E41,50.0
Orteliusbuurt Midden,BU03634202,1940.0,235.0,155.0,980.0,425.0,160.0,425.0,530.0,170.0,25.0,80.0,85.0,1948.0,290.0,364.0,711.0,424.0,159.0,77.0,22.0,169.0,81.0,183.0,427.0,328.0,446.0,173.0,243.0,94.0,162.0,770.0,1049.0,459.0,649.0,408.0,577.0,2138.0,2964.0,3.0,128,03630000000636,E42c,60901.0,E,E42,58.0
Orteliusbuurt Zuid,BU03634203,1860.0,200.0,155.0,895.0,370.0,255.0,430.0,480.0,105.0,25.0,90.0,95.0,1863.0,242.0,417.0,583.0,370.0,251.0,89.0,23.0,106.0,92.0,168.0,428.0,152.0,449.0,206.0,376.0,26.0,157.0,368.0,1071.0,231.0,699.0,290.0,741.0,1247.0,3336.0,,129,03630000000637,E42d,83600.0,E,E42,59.0
Paramariboplein e.o.,BU03634300,3905.0,555.0,390.0,1945.0,735.0,285.0,925.0,820.0,190.0,45.0,105.0,125.0,3907.0,652.0,957.0,1280.0,734.0,284.0,104.0,42.0,190.0,123.0,363.0,917.0,672.0,883.0,308.0,418.0,108.0,151.0,1274.0,1806.0,766.0,1152.0,953.0,1248.0,3973.0,5507.0,26.0,130,03630000000638,E43a,171283.0,E,E43,38.0
Mercatorpark,BU03634103,1915.0,260.0,210.0,855.0,585.0,20.0,160.0,1470.0,365.0,105.0,405.0,90.0,1928.0,295.0,423.0,608.0,583.0,19.0,404.0,109.0,366.0,91.0,507.0,155.0,319.0,430.0,54.0,150.0,174.0,221.0,678.0,870.0,627.0,780.0,452.0,594.0,2130.0,2824.0,,431,03630000000633,E41d,98154.0,E,E41,13.0
Balboaplein e.o.,BU03634200,3085.0,415.0,365.0,1460.0,640.0,215.0,530.0,1235.0,350.0,30.0,170.0,345.0,3085.0,514.0,762.0,958.0,639.0,212.0,168.0,31.0,350.0,346.0,339.0,523.0,447.0,908.0,205.0,443.0,193.0,356.0,831.0,1845.0,585.0,1253.0,673.0,1380.0,2741.0,5829.0,64.0,126,03630000000634,E42a,120107.0,E,E42,83.0
Legmeerpleinbuurt,BU03634404,1685.0,235.0,160.0,735.0,385.0,180.0,395.0,210.0,25.0,15.0,35.0,15.0,1688.0,291.0,334.0,501.0,385.0,177.0,34.0,13.0,25.0,15.0,120.0,392.0,257.0,464.0,138.0,284.0,9.0,30.0,424.0,830.0,333.0,744.0,241.0,535.0,1393.0,2857.0,3.0,448,03630000000799,K44e,75553.0,K,K44,15.0
Westlandgrachtbuurt,BU03634401,3620.0,460.0,315.0,1700.0,805.0,345.0,770.0,560.0,70.0,30.0,105.0,70.0,3621.0,555.0,773.0,1147.0,801.0,345.0,103.0,31.0,66.0,71.0,288.0,766.0,594.0,618.0,386.0,405.0,31.0,34.0,1252.0,1304.0,860.0,896.0,901.0,956.0,3993.0,4179.0,7.0,223,03630000000796,K44b,188043.0,K,K44,16.0
Aalsmeerwegbuurt West,BU03634402,2545.0,290.0,225.0,1380.0,480.0,185.0,630.0,390.0,45.0,20.0,65.0,30.0,2547.0,342.0,605.0,938.0,477.0,185.0,65.0,20.0,45.0,27.0,234.0,622.0,319.0,604.0,188.0,316.0,24.0,66.0,832.0,1406.0,474.0,845.0,537.0,1038.0,2350.0,4209.0,4.0,446,03630000000797,K44c,105180.0,K,K44,19.0
Postjeskade e.o.,BU03634301,3015.0,360.0,320.0,1415.0,620.0,310.0,615.0,555.0,85.0,25.0,110.0,90.0,3017.0,443.0,711.0,935.0,619.0,309.0,107.0,26.0,84.0,89.0,247.0,613.0,418.0,698.0,285.0,526.0,39.0,89.0,881.0,1318.0,591.0,893.0,684.0,1028.0,2859.0,4463.0,10.0,131,03630000000639,E43b,175518.0,E,E43,23.0
Bedrijventerrein Schinkel,BU03634405,265.0,15.0,115.0,65.0,60.0,20.0,130.0,20.0,0.0,0.0,0.0,5.0,266.0,36.0,127.0,26.0,59.0,18.0,0.0,0.0,0.0,2.0,24.0,126.0,36.0,130.0,18.0,85.0,4.0,15.0,29.0,218.0,56.0,246.0,128.0,288.0,267.0,967.0,,449,03630000000800,K44f,380252.0,K,K44,15.0
Surinamepleinbuurt,BU03634400,1540.0,200.0,160.0,665.0,325.0,200.0,345.0,165.0,15.0,15.0,25.0,15.0,1540.0,260.0,330.0,428.0,323.0,199.0,22.0,12.0,15.0,14.0,103.0,345.0,200.0,431.0,153.0,351.0,1.0,17.0,369.0,744.0,235.0,607.0,276.0,569.0,1233.0,2702.0,2.0,445,03630000000795,K44a,89393.0,K,K44,4.0
Schinkelbuurt Zuid,BU03634501,1505.0,160.0,140.0,650.0,360.0,210.0,325.0,390.0,55.0,10.0,120.0,40.0,1508.0,207.0,313.0,423.0,356.0,209.0,119.0,11.0,52.0,41.0,168.0,320.0,178.0,519.0,163.0,412.0,22.0,53.0,342.0,994.0,294.0,800.0,242.0,671.0,1219.0,3396.0,5.0,451,03630000000802,K45b,238200.0,K,K45,28.0
Aalsmeerwegbuurt Oost,BU03634403,2150.0,225.0,185.0,1010.0,530.0,210.0,510.0,335.0,65.0,15.0,65.0,35.0,2155.0,276.0,487.0,655.0,531.0,206.0,65.0,13.0,65.0,32.0,161.0,506.0,293.0,511.0,227.0,362.0,23.0,73.0,714.0,1177.0,527.0,858.0,545.0,938.0,2306.0,3846.0,6.0,447,03630000000798,K44d,118233.0,K,K44,18.0
Schinkelbuurt Noord,BU03634500,2420.0,245.0,240.0,1215.0,535.0,195.0,645.0,375.0,55.0,20.0,60.0,35.0,2426.0,310.0,569.0,820.0,535.0,192.0,60.0,16.0,53.0,35.0,209.0,645.0,325.0,588.0,208.0,361.0,24.0,36.0,850.0,1365.0,574.0,917.0,580.0,926.0,2537.0,4157.0,9.0,450,03630000000801,K45a,108053.0,K,K45,23.0
Concertgebouwbuurt,BU03634702,1835.0,305.0,210.0,505.0,500.0,330.0,550.0,180.0,5.0,10.0,25.0,20.0,1838.0,406.0,239.0,369.0,498.0,326.0,24.0,11.0,4.0,18.0,125.0,542.0,382.0,496.0,290.0,417.0,4.0,4.0,327.0,478.0,463.0,631.0,220.0,311.0,1682.0,2333.0,3.0,456,03630000000809,K47c,132052.0,K,K47,10.0
Cornelis Schuytbuurt,BU03634703,2925.0,510.0,350.0,765.0,865.0,445.0,995.0,290.0,5.0,15.0,35.0,15.0,2929.0,687.0,344.0,590.0,864.0,444.0,32.0,12.0,5.0,15.0,225.0,993.0,685.0,877.0,429.0,596.0,1.0,4.0,577.0,722.0,852.0,1108.0,312.0,417.0,2855.0,3720.0,1.0,457,03630000000810,K47d,194795.0,K,K47,11.0
Banpleinbuurt,BU03634704,795.0,135.0,90.0,120.0,245.0,220.0,210.0,60.0,5.0,0.0,10.0,0.0,796.0,189.0,54.0,95.0,241.0,217.0,11.0,1.0,5.0,1.0,39.0,211.0,200.0,413.0,250.0,415.0,5.0,6.0,109.0,281.0,255.0,504.0,70.0,197.0,884.0,1810.0,,442,03630000000811,K47e,112339.0,K,K47,5.0
Hondecoeterbuurt,BU03634705,2055.0,330.0,200.0,690.0,480.0,365.0,630.0,220.0,5.0,15.0,25.0,20.0,2059.0,408.0,336.0,472.0,479.0,364.0,23.0,13.0,5.0,19.0,163.0,627.0,388.0,600.0,312.0,631.0,3.0,9.0,462.0,776.0,469.0,756.0,306.0,509.0,1937.0,3272.0,5.0,443,03630000000812,K47f,126099.0,K,K47,6.0
Harmoniehofbuurt,BU03634706,1385.0,120.0,70.0,285.0,305.0,620.0,260.0,105.0,0.0,5.0,30.0,5.0,1387.0,159.0,101.0,206.0,304.0,617.0,30.0,6.0,1.0,3.0,62.0,258.0,158.0,310.0,620.0,771.0,1.0,5.0,224.0,578.0,315.0,516.0,115.0,336.0,1432.0,2511.0,,419,03630000000813,K47g,113893.0,K,K47,1.0
Museumplein,BU03634707,5.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,118.0,12.0,114.0,1.0,1.0,41.0,162.0,25.0,164.0,15.0,92.0,112.0,650.0,,458,03630000000814,K47h,134069.0,K,K47,
Willemsparkbuurt Noord,BU03634602,1555.0,230.0,195.0,485.0,445.0,215.0,465.0,155.0,10.0,5.0,20.0,10.0,1559.0,334.0,239.0,330.0,442.0,214.0,21.0,5.0,8.0,8.0,116.0,460.0,366.0,592.0,241.0,358.0,4.0,9.0,437.0,718.0,498.0,802.0,304.0,514.0,1846.0,2984.0,,452,03630000000805,K46c,189244.0,K,K46,16.0
Valeriusbuurt Oost,BU03634600,1375.0,310.0,145.0,330.0,430.0,175.0,495.0,135.0,5.0,5.0,15.0,10.0,1378.0,397.0,105.0,275.0,430.0,171.0,15.0,4.0,6.0,10.0,98.0,495.0,385.0,585.0,156.0,304.0,2.0,4.0,259.0,442.0,401.0,673.0,124.0,243.0,1325.0,2247.0,7.0,435,03630000000803,K46a,120611.0,K,K46,7.0
Valeriusbuurt West,BU03634601,2560.0,490.0,250.0,805.0,680.0,350.0,770.0,370.0,40.0,15.0,50.0,45.0,2562.0,612.0,323.0,602.0,676.0,349.0,47.0,12.0,41.0,46.0,221.0,768.0,592.0,837.0,353.0,536.0,27.0,49.0,555.0,986.0,648.0,1034.0,308.0,629.0,2456.0,4022.0,3.0,436,03630000000804,K46b,141017.0,K,K46,8.0
Bertelmanpleinbuurt,BU03634800,1070.0,100.0,115.0,370.0,290.0,210.0,170.0,335.0,100.0,15.0,75.0,55.0,1071.0,131.0,217.0,228.0,286.0,209.0,74.0,16.0,100.0,55.0,90.0,167.0,108.0,176.0,163.0,255.0,33.0,47.0,179.0,383.0,212.0,341.0,154.0,275.0,816.0,1430.0,5.0,461,03630000000816,K48a,59565.0,K,K48,8.0
Marathonbuurt Oost,BU03634801,1465.0,155.0,175.0,450.0,425.0,270.0,270.0,360.0,75.0,15.0,80.0,35.0,1468.0,237.0,224.0,313.0,425.0,269.0,79.0,12.0,72.0,35.0,162.0,266.0,292.0,572.0,290.0,533.0,40.0,65.0,358.0,714.0,464.0,831.0,252.0,538.0,1656.0,3188.0,1.0,462,03630000000817,K48b,155317.0,K,K48,14.0
Marathonbuurt West,BU03634802,2425.0,235.0,240.0,855.0,700.0,405.0,425.0,820.0,205.0,45.0,200.0,75.0,2429.0,349.0,363.0,616.0,699.0,402.0,199.0,42.0,203.0,73.0,306.0,421.0,349.0,655.0,419.0,797.0,109.0,161.0,635.0,1162.0,724.0,1185.0,383.0,703.0,2510.0,4502.0,6.0,463,03630000000818,K48c,121132.0,K,K48,12.0
Olympisch Stadion e.o.,BU03634803,2305.0,435.0,160.0,910.0,475.0,335.0,645.0,550.0,110.0,30.0,105.0,65.0,2307.0,513.0,252.0,736.0,471.0,335.0,102.0,30.0,107.0,64.0,247.0,640.0,499.0,629.0,334.0,475.0,41.0,62.0,720.0,960.0,451.0,658.0,262.0,419.0,2266.0,3141.0,24.0,464,03630000000819,K48d,231303.0,K,K48,31.0
IJsbaanpad e.o.,BU03634804,390.0,85.0,50.0,70.0,135.0,55.0,60.0,15.0,0.0,5.0,0.0,0.0,390.0,118.0,26.0,59.0,133.0,54.0,1.0,3.0,1.0,0.0,7.0,58.0,123.0,128.0,54.0,56.0,,,59.0,61.0,139.0,149.0,27.0,32.0,402.0,426.0,,465,03630000000820,K48e,296108.0,K,K48,
