index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
454,K47a,1536,323,185,360,399,269,19,25,3,11,122,523,349,459,296,386,1,2,418,749,442,621,244,462,12,20,1749,2677,10,435,19,Johannnes Vermeerbuurt,K47,K,159829,3.63E+12,K Zuid,K47a Johannnes Vermeerbuurt,Johannnes Vermeerbuurt,1536,323,185,360,399,269,19,25,11,3,122,523,833,1730.842587,332.1466553,246.2419677,430.8634659,431.5140181,290.0764799,9.705845683,1.025103224,10.23022652,11.2506534
455,K47b,790,132,119,198,212,129,6,5,4,12,71,320,107,215,121,216,1,5,166,320,186,343,102,207,3,6,682,1301,8,436,13,P.C. Hooftbuurt,K47,K,113855,3.63E+12,K Zuid,K47b P.C. Hooftbuurt,P.C. Hooftbuurt,790,132,119,198,212,129,6,5,12,4,71,320,372,697.3059914,112.9172857,107.4102539,171.1638457,189.125003,116.6896031,8.37812423,1.704689748,4.045652116,3.375214403
456,K47c,1838,406,239,369,498,326,24,11,4,18,125,542,382,496,290,417,4,4,327,478,463,631,220,311,9,9,1682,2333,10,437,21,Concertgebouwbuurt,K47,K,132052,3.63E+12,K Zuid,K47c Concertgebouwbuurt,Concertgebouwbuurt,1838,406,239,369,498,326,24,11,18,4,125,542,1114,1677.239613,376.8414389,219.8138931,335.8799974,455.1896677,289.5146155,9.240661336,2.969460624,9.145303267,8.331137267
457,K47d,2929,687,344,590,864,444,32,12,5,15,225,993,685,877,429,596,1,4,577,722,852,1108,312,417,13,17,2855,3720,10,438,17,Cornelis Schuytbuurt,K47,K,194795,3.63E+12,K Zuid,K47d Cornelis Schuytbuurt,Cornelis Schuytbuurt,2929,687,344,590,864,444,32,12,15,5,225,993,1647,2743.795511,654.0862281,302.5013266,549.3581138,824.3833991,413.4664432,10.76974534,1.442179694,4.884885853,12.97776289
458,K47h,8,2,0,0,2,4,0,0,0,0,0,5,19,118,12,114,1,1,41,162,25,164,15,92,,1,112,650,4,439,10,Museumplein,K47,K,134069,3.63E+12,K Zuid,K47h Museumplein,Museumplein,8,2,0,0,2,4,0,0,0,0,0,5,3,137.2686751,24.13486699,18.48203495,40.81463625,32.65995008,21.17718687,3.305161199,1,1.65205043,0.04919435
459,K47i,4,0,1,0,1,2,0,0,0,0,0,0,30,253,38,280,3,6,33,228,44,383,26,179,3,6,171,1323,2,440,11,Vondelpark Oost,K47,K,236985,3.63E+12,K Zuid,K47i Vondelpark Oost,Vondelpark Oost,4,0,1,0,1,2,0,0,0,0,0,0,4,313.633671,58.79639598,45.21524365,54.36515026,86.82245185,68.43442928,3.014776196,3.381257057,1.019526348,3.833873184
460,K47j,1384,190,284,513,289,108,23,14,7,18,114,427,192,386,116,300,5,7,444,1028,256,602,235,658,9,32,1243,2974,11,441,24,Duivelseiland,K47,K,61540,3.63002E+12,K Zuid,K47j Duivelseiland,Duivelseiland,1384,190,284,513,289,108,23,14,18,7,114,427,781,1417.632999,206.0948094,282.3075379,500.6802601,301.4582788,127.0921129,13.12648681,5.156756977,9.936624424,12.60673802
461,K48a,1071,131,217,228,286,209,74,16,100,55,90,167,108,176,163,255,33,47,179,383,212,341,154,275,39,60,816,1430,22,442,36,Bertelmanpleinbuurt,K48,K,59565,3.63E+12,K Zuid,K48a Bertelmanpleinbuurt,Bertelmanpleinbuurt,1071,131,217,228,286,209,74,16,55,100,90,167,569,746.8002351,105.0015791,142.045462,169.8223519,184.0697025,145.8611396,22.28863006,32.28890277,5.097331813,33.69156458
462,K48b,1468,237,224,313,425,269,79,12,72,35,162,266,292,572,290,533,40,65,358,714,464,831,252,538,54,88,1656,3188,27,443,50,Marathonbuurt Oost,K48,K,155317,3.63E+12,K Zuid,K48b Marathonbuurt Oost,Marathonbuurt Oost,1468,237,224,313,425,269,79,12,35,72,162,266,842,1684.779385,296.5879541,254.865087,365.9812989,476.2682392,291.0768061,28.87838297,41.54990554,9.104601752,53.50875779
463,K48c,2429,349,363,616,699,402,199,42,203,73,306,421,349,655,419,797,109,161,635,1162,724,1185,383,703,139,211,2510,4502,42,444,77,Marathonbuurt West,K48,K,121132,3.63E+12,K Zuid,K48c Marathonbuurt West,Marathonbuurt West,2429,349,363,616,699,402,199,42,73,203,306,421,1185,2401.335507,333.1426517,378.3509252,608.6859548,680.2975204,400.8584549,39.27221082,97.70326039,24.47020955,130.3064723
464,K48d,2307,513,252,736,471,335,102,30,107,64,247,640,499,629,334,475,41,62,720,960,451,658,262,419,62,87,2266,3141,45,445,58,Olympisch Stadion e.o.,K48,K,231303,3.63E+12,K Zuid,K48d Olympisch Stadion e.o.,Olympisch Stadion e.o.,2307,513,252,736,471,335,102,30,64,107,247,640,1117,2369.607469,514.3761449,280.4475017,756.484229,472.7399578,345.5596358,46.58874267,40.88052971,12.05650099,63.55450542
465,K48e,390,118,26,59,133,54,1,3,1,0,7,58,123,128,54,56,,,59,61,139,149,27,32,1,1,402,426,,446,,IJsbaanpad e.o.,K48,K,296108,3.63E+12,K Zuid,K48e IJsbaanpad e.o.,IJsbaanpad e.o.,390,118,26,59,133,54,1,3,0,1,7,58,320,388.8711759,119.1396496,26.58527579,58.65020226,132.2160725,52.27997579,,,1,1
466,K48f,4162,615,927,1278,853,489,90,46,75,79,365,1000,618,783,465,642,22,74,1212,1531,836,1133,874,1042,38,86,4005,5131,47,447,61,Van Tuyllbuurt,K48,K,210415,3.63E+12,K Zuid,K48f Van Tuyllbuurt,Van Tuyllbuurt,4162,615,927,1278,853,489,90,46,79,75,365,1000,2507,4006.623852,616.5906254,851.6309943,1213.592105,852.6883637,472.1217638,48.80491452,34.24647373,19.37791461,46.89542505
467,K49a,787,233,68,129,224,133,16,2,0,3,52,186,269,482,152,290,,1,151,302,252,473,81,227,10,14,905,1774,4,448,9,Diepenbrockbuurt,K49,K,220652,3.63E+12,K Zuid,K49a Diepenbrockbuurt,Diepenbrockbuurt,787,233,68,129,224,133,16,2,3,0,52,186,528,907.5162383,271.2644398,82.94307464,146.1917601,254.3527096,152.7642541,3.414233375,0.179563448,1.929433951,9.8111928
468,K49c,79,24,11,3,33,8,0,0,1,0,1,8,24,154,9,59,1,2,4,91,33,151,15,78,,2,85,533,,449,2,Hiltonbuurt,K49,K,112952,3.63E+12,K Zuid,K49c Hiltonbuurt,Hiltonbuurt,79,24,11,3,33,8,0,0,0,1,1,8,69,100.2743838,29.33852586,15.86222794,10.4554923,34.99085792,9.627279746,0.03559378,0.693814823,,0.002278925
469,K49d,1386,361,136,245,404,240,14,5,4,22,99,445,455,562,296,339,9,11,315,369,521,635,174,195,10,12,1761,2100,20,450,31,Minervabuurt Noord,K49,K,144132,3.63E+12,K Zuid,K49d Minervabuurt Noord,Minervabuurt Noord,1386,361,136,245,404,240,14,5,22,4,99,445,797,1544.895362,405.7033551,147.5119018,269.2182544,462.7795136,259.6823375,19.26294567,7.347486836,2.01317363,8.843341783
470,K49e,2441,628,327,433,636,417,18,20,9,29,189,833,510,1057,373,809,9,21,359,914,530,1195,268,606,8,33,2040,4581,15,451,50,Minervabuurt Midden,K49,K,150419,3.63E+12,K Zuid,K49e Minervabuurt Midden,Minervabuurt Midden,2441,628,327,433,636,417,18,20,29,9,189,833,1343,2508.480377,606.1126131,329.3993697,460.6207408,653.2978122,459.0498413,22.23976089,11.42627104,4.958489939,13.18848421
471,K49f,2694,614,342,612,642,484,31,16,8,26,201,843,616,698,490,562,3,3,644,744,660,753,386,498,9,13,2796,3255,28,452,28,Minervabuurt Zuid,K49,K,162392,3.63E+12,K Zuid,K49f Minervabuurt Zuid,Minervabuurt Zuid,2694,614,342,612,642,484,31,16,26,8,201,843,1569,2508.545595,554.8136058,348.2219045,569.7424333,598.0560478,437.7116039,22.79488138,2.368755555,4.756237173,8.255959125
472,N65b,4239,908,432,918,1198,783,162,28,184,105,299,455,918,1037,779,870,79,85,926,1044,1216,1362,437,501,76,83,4276,4814,47,453,55,Tuindorp Oostzaan Oost,N65,N,528827,3.63E+12,N Noord,N65b Tuindorp Oostzaan Oost,Tuindorp Oostzaan Oost,4239,908,432,918,1198,783,162,28,105,184,299,455,3006,4184.669215,898.1071723,431.1766469,902.8142302,1188.292884,764.2782812,45.73403989,78.78686894,14.96253981,75.03625617
473,N66b,415,82,43,75,150,65,3,1,1,0,13,60,84,340,96,422,3,25,80,396,146,574,43,203,2,38,449,1935,1,454,14,Oostzanerdijk,N66,N,465939,3.63E+12,N Noord,N66b Oostzanerdijk,Oostzanerdijk,415,82,43,75,150,65,3,1,0,1,13,60,337,583.0365596,105.4614479,60.32538743,108.5390454,184.8164424,123.8942364,2.344829016,5.357123376,1.782894281,6.734863133
474,N60a,4844,1095,828,1206,1292,423,334,68,797,299,879,598,1086,1173,421,469,381,402,1214,1316,1276,1373,831,892,218,240,4828,5223,174,455,182,Van der Pekbuurt,N60,N,579363,3.63E+12,N Noord,N60a Van der Pekbuurt,Van der Pekbuurt,4844,1095,828,1206,1292,423,334,68,299,797,879,598,1869,4757.759994,1069.803915,821.3756471,1194.523551,1257.094314,414.9625666,172.2892177,377.6280661,45.49546677,216.8384969
475,N60c,2387,425,283,540,723,416,164,18,82,76,254,309,453,620,431,555,48,60,552,700,746,961,283,362,116,143,2465,3198,43,456,53,Bloemenbuurt Noord,N60,N,362666,3.63E+12,N Noord,N60c Bloemenbuurt Noord,Bloemenbuurt Noord,2387,425,283,540,723,416,164,18,76,82,254,309,1484,2399.964899,434.9446697,272.8284552,538.5058007,734.7492588,418.9367144,40.64955224,46.74871009,11.75342425,112.1921151
476,N67a,2193,625,141,494,628,305,79,23,69,37,129,244,617,718,295,383,22,29,485,584,611,789,144,208,42,55,2152,2682,17,457,27,Kadoelen,N67,N,1305376,3.63E+12,N Noord,N67a Kadoelen,Kadoelen,2193,625,141,494,628,305,79,23,37,69,129,244,1612,2161.23492,609.1900364,150.4488959,473.6765579,624.0401188,303.8793109,17.15428479,22.81728776,9.082710766,43.60139034
477,N70a,3741,1062,456,761,833,629,379,52,615,330,787,422,1086,1212,586,803,257,283,846,995,871,1081,479,552,266,307,3868,4643,157,458,172,Banne Zuidwest,N70,N,372865,3.63E+12,N Noord,N70a Banne Zuidwest,Banne Zuidwest,3741,1062,456,761,833,629,379,52,330,615,787,422,1156,3642.352636,1019.286898,443.9081811,764.9697507,831.0674484,583.1203576,147.2450931,240.2500285,34.91361408,248.0909218
478,N70c,2647,699,431,515,637,365,246,49,434,426,436,286,763,1033,507,762,184,239,562,804,725,985,460,607,192,243,3017,4191,212,459,278,Banne Noordwest,N70,N,340840,3.63E+12,N Noord,N70c Banne Noordwest,Banne Noordwest,2647,699,431,515,637,365,246,49,426,434,436,286,770,2944.455599,756.3437563,464.210737,567.9673501,707.3954654,448.5382901,207.6361994,182.3412589,42.15250023,186.5136481
479,N70d,3660,994,460,715,926,565,257,42,553,535,531,416,951,1103,541,629,205,236,687,799,888,1032,448,516,155,196,3515,4079,229,460,262,Banne Noordoost,N70,N,456098,3.63E+12,N Noord,N70d Banne Noordoost,Banne Noordoost,3660,994,460,715,926,565,257,42,535,553,531,416,1326,3552.624955,959.0246818,450.152762,691.5892888,900.4215952,551.4366276,231.1593182,207.5490536,20.63198539,161.339643
480,N64c,1054,321,67,166,355,145,4,7,1,0,32,157,230,596,104,365,,15,133,399,260,792,63,203,1,24,790,2355,3,461,12,Nieuwendammerdijk West,N64,N,117735,3.63E+12,N Noord,N64c Nieuwendammerdijk West,Nieuwendammerdijk West,1054,321,67,166,355,145,4,7,0,1,32,157,853,820.9708077,237.2319574,61.25241074,132.337203,273.3174233,116.8318133,3.267310862,1.210979053,1.632927614,2.648727633
481,N73a,71,19,7,8,30,7,6,0,0,0,0,10,43,100,20,44,,,31,52,73,130,11,25,1,4,178,351,,462,3,Schellingwoude West,N73,N,251127,3.63E+12,N Noord,N73a Schellingwoude West,Schellingwoude West,71,19,7,8,30,7,6,0,0,0,0,10,55,166.0605303,41.36622857,11.64195381,26.31541158,66.72504991,20.01188646,0.089369462,,0.029789821,1.775357657
482,N73b,606,160,44,93,211,98,10,3,1,10,8,81,138,206,86,134,1,2,69,115,182,297,41,59,6,11,516,811,3,463,3,Schellingwoude Oost,N73,N,921994,3.63E+12,N Noord,N73b Schellingwoude Oost,Schellingwoude Oost,606,160,44,93,211,98,10,3,10,1,8,81,493,544.4195564,143.2428458,42.61496158,76.32186296,193.1152221,89.12466396,2.910630538,0.718991441,2.282043078,6.160124157
483,N73d,504,133,24,88,173,86,4,0,0,0,12,57,133,134,86,88,,,88,89,174,174,25,25,2,2,506,510,,464,,Durgerdam,N73,N,6880434,3.63E+12,N Noord,N73d Durgerdam,Durgerdam,504,133,24,88,173,86,4,0,0,0,12,57,431,506.9757248,133.2472003,24.96077079,88.27335312,173.9607708,86.53362983,,,,2
484,N73f,310,80,16,39,100,75,2,0,0,0,8,28,78,92,75,83,,,37,41,102,120,17,26,,,309,362,,465,,Ransdorp,N73,N,2272049,3.63E+12,N Noord,N73f Ransdorp,Ransdorp,310,80,16,39,100,75,2,0,0,0,8,28,272,300.6365967,75.93920454,16.29183136,35.53057561,100.0532084,72.82177686,,,,
485,N73g,283,61,22,36,106,58,0,0,0,0,10,21,62,85,57,69,,,38,45,102,130,21,31,,,280,360,,466,,Holysloot,N73,N,19900165,3.63E+12,N Noord,N73g Holysloot,Holysloot,283,61,22,36,106,58,0,0,0,0,10,21,252,283.7039097,62.1689177,22.8523075,37.82897202,103.2120784,57.64163414,,,,
486,N73i,18,0,4,4,8,2,0,0,0,0,3,7,0,18,2,2,,,4,16,8,17,4,9,,1,18,62,,467,,Noorderstrook West,N73,N,1017630,3.63002E+12,N Noord,N73i Noorderstrook West,Noorderstrook West,18,0,4,4,8,2,0,0,0,0,3,7,8,18.67349339,0.961573627,4.258669193,4.590441531,6.862809039,2,,,,0.036551572
487,T92c,24,0,10,10,3,1,1,0,0,0,10,10,0,0,1,1,,,10,10,3,3,10,10,1,1,24,24,,468,,Amstel III deel C/D Noord,T92,T,989683,3.63E+12,T Zuidoost,T92c Amstel III deel C/D Noord,Amstel III deel C/D Noord,24,0,10,10,3,1,1,0,0,0,10,10,3,22.83472213,0,10,9.223148087,2.611574044,1,,,,1
488,T93a,5245,998,876,1270,1494,607,1591,281,154,109,1533,591,1016,1135,617,634,77,83,1287,1422,1519,1609,893,1176,1202,1281,5332,5976,70,469,76,Venserpolder West,T93,T,498429,3.63E+12,T Zuidoost,T93a Venserpolder West,Venserpolder West,5245,998,876,1270,1494,607,1591,281,109,154,1533,591,986,5323.185005,1011.770007,927.1585116,1271.15349,1501.464963,611.6380341,68.85725647,75.50673112,233.6927373,1199.080774
489,T93k,,,,,,,,,,,,,32,171,14,87,1,5,26,190,48,240,17,143,22,157,137,831,,470,7,Nelson Mandelapark,T93,T,510340,3.63E+12,T Zuidoost,T93k Nelson Mandelapark,Nelson Mandelapark,,,,,,,,,,,,,,117.4011348,24.58493551,15.94117983,25.51339479,37.49664474,13.86497994,0.119335766,0.698410365,3.135145623,21.93868813
490,T92g,152,68,38,25,14,7,11,1,15,1,19,18,68,68,4,4,1,5,25,33,13,29,38,40,6,16,148,174,1,471,1,Hoge Dijk,T92,T,1605331,3.63E+12,T Zuidoost,T92g Hoge Dijk,Hoge Dijk,152,68,38,25,14,7,11,1,1,15,19,18,87,149.9668138,67.77181824,37.83406273,25.22598862,14.20333827,4.931605983,1,1.363579125,0.090894781,6.773445092
491,T94j,3189,392,516,532,808,941,517,68,34,28,406,582,437,603,951,975,21,24,581,728,851,984,545,630,383,533,3365,3920,15,472,20,G-buurt Oost,T94,T,971111,3.63E+12,T Zuidoost,T94j G-buurt Oost,G-buurt Oost,3189,392,516,532,808,941,517,68,28,34,406,582,1554,3350.62509,432.5768929,541.3665695,575.4598233,850.6148874,950.6069167,15.13942548,18.5125695,56.70948015,388.3661121
492,T95a,2862,449,387,686,759,581,360,74,22,32,490,558,449,449,581,581,9,9,686,686,759,759,387,387,231,231,2862,2862,12,473,12,L-buurt,T95,T,763816,3.63E+12,T Zuidoost,T95a L-buurt,L-buurt,2862,449,387,686,759,581,360,74,32,22,490,558,1326,2861.056739,448.9344823,386.9264407,685.727602,758.7865761,580.681638,12,9,45.98391681,230.9620776
493,T95b,23,3,5,1,12,2,2,0,0,0,1,1,3,6,2,23,,,1,16,12,23,5,10,,3,23,78,,474,,Gaasperpark,T95,T,847165,3.63E+12,T Zuidoost,T95b Gaasperpark,Gaasperpark,23,3,5,1,12,2,2,0,0,0,1,1,19,24.07401363,3.065517721,5.103083989,1.272398019,12.25560251,2.377411389,,,0.016083188,0.037922428
494,T95c,36,6,4,4,13,9,1,0,0,0,5,2,6,42,11,53,,1,4,36,13,95,4,20,1,14,38,246,,475,1,Gaasperplas,T95,T,1337648,3.63E+12,T Zuidoost,T95c Gaasperplas,Gaasperplas,36,6,4,4,13,9,1,0,0,0,5,2,28,60.14398876,10.15035573,6.006048416,6.506567063,21.28558482,16.19543273,0.249407814,0.005801148,0.04061594,1.550534692
495,T96b,4307,1248,606,827,1140,486,1488,336,129,54,1292,268,1214,1326,484,684,58,61,810,889,1109,1288,588,664,1004,1163,4205,4851,29,476,31,Reigersbos Noord,T96,T,369420,3.63E+12,T Zuidoost,T96b Reigersbos Noord,Reigersbos Noord,4307,1248,606,827,1140,486,1488,336,54,129,1292,268,740,4144.177528,1187.573551,583.817939,790.3473805,1098.837905,483.6007528,28.15578619,56.61862753,240.5244064,988.8085165
496,T96g,2572,503,355,509,742,463,679,75,38,15,432,341,512,686,468,528,16,26,516,709,745,964,357,473,395,530,2598,3360,8,477,12,Reigersbos Zuid,T96,T,630469,3.63E+12,T Zuidoost,T96g Reigersbos Zuid,Reigersbos Zuid,2572,503,355,509,742,463,679,75,15,38,432,341,992,2635.157367,521.4869276,364.8036189,524.581737,756.4682375,467.8168462,8.451382309,17.95840392,43.81887511,401.8427644
497,T97c,3314,636,405,526,1206,541,597,50,14,16,450,451,636,680,541,557,8,10,526,579,1206,1272,405,450,340,394,3314,3538,8,478,8,Gein Noordoost,T97,T,647836,3.63E+12,T Zuidoost,T97c Gein Noordoost,Gein Noordoost,3314,636,405,526,1206,541,597,50,16,14,450,451,1736,3307.969332,634.309981,406.9112431,527.3283637,1203.621244,535.7985001,7.750592186,8.44026181,25.96698579,344.7745528
498,T97d,3423,672,396,726,1086,543,875,132,81,21,643,386,616,700,497,574,31,35,665,744,981,1137,352,429,493,557,3111,3584,6,479,8,Gein Zuidoost,T97,T,773357,3.63E+12,T Zuidoost,T97d Gein Zuidoost,Gein Zuidoost,3423,672,396,726,1086,543,875,132,21,81,643,386,1285,3075.174206,606.4501384,353.6014942,653.8568418,967.4964025,493.7693286,6.684256128,31.15948765,83.78661123,485.9839275
499,T98a,1486,351,151,259,462,263,81,15,17,10,43,147,351,379,260,266,5,5,259,279,461,481,151,155,40,43,1482,1560,3,480,3,Dorp Driemond,T98,T,350656,3.63E+12,T Zuidoost,T98a Dorp Driemond,Dorp Driemond,1486,351,151,259,462,263,81,15,10,17,43,147,1173,1439.486149,343.3807386,145.552366,252.2302173,450.1960877,248.1267392,3,4.713866992,8.992733652,39.56339369
