index,Buurtcode,ois_totalpop,ois_children,ois_students,ois_mobadults,ois_nmobadults,ois_elderly,ois_sur,ois_ant,ois_mar,ois_tur,ois_wester,ois_nonwes,ois_gc_2018_children,ois_gc1_2018_children,ois_gc_2018_elderly,ois_gc1_2018_elderly,ois_gc_2018_mar,ois_gc1_2018_mar,ois_gc_2018_mobadults,ois_gc1_2018_mobadults,ois_gc_2018_nmobadults,ois_gc1_2018_nmobadults,ois_gc_2018_students,ois_gc1_2018_students,ois_gc_2018_sur,ois_gc1_2018_sur,ois_gc_2018_totalpop,ois_gc1_2018_totalpop,ois_gc_2018_tur,id,ois_gc1_2018_tur,Buurtnaam,Wijkcode,Stadsdeelc,Oppervlakt,BuurtID,sdnaam,gebiedcode,gebiednaam,totalpop,Children,Students,MobileAdul,NotMobileA,Elderly,l10_sur,l10_ant,l10_tur,l10_mar,l10_wester,l10_nonwes,autoch,ois_gc2_l1_totalpop,ois_gc2_l2_children,ois_gc2_l3_students,ois_gc2_l4_mobile_adults,ois_gc2_l5_not_mobile_adults,ois_gc2_l6_elderly,ois_gc2_tur,ois_gc2_mar,ois_gc2_ant,ois_gc2_sur
350,N71f,1556,137,1215,174,28,2,63,39,23,30,328,335,137,143,2,13,6,7,176,201,28,55,1215,1256,20,24,1558,1668,8,350,9,NDSM terrein,N71,N,794684,3.63002E+12,N Noord,N71f NDSM terrein,NDSM terrein,1556,137,1215,174,28,2,63,39,30,23,328,335,738,1417.116704,128.1677105,1122.815154,142.129371,22.46706087,1.537406908,7.436574539,5.728261272,19.97982649,18.0142425
351,N71g,182,68,25,60,24,5,3,2,28,5,6,41,78,167,9,52,8,22,71,160,39,172,29,66,1,12,226,617,3,351,7,Buiksloterham,N71,N,658687,3.63002E+12,N Noord,N71g Buiksloterham,Buiksloterham,182,68,25,60,24,5,3,2,5,28,6,41,97,262.6168148,86.47188375,32.2533357,78.97347166,49.72970653,15.18841716,3.520755831,9.215624124,1.443447657,3.154400744
352,N71h,1366,206,185,451,337,187,49,15,15,28,125,247,206,257,187,205,4,8,459,500,342,404,197,212,31,34,1391,1578,10,352,10,Overhoeks,N71,N,513250,3.63002E+12,N Noord,N71h Overhoeks,Overhoeks,1366,206,185,451,337,187,49,15,28,15,125,247,887,1406.246291,212.8080128,195.0673333,463.1455969,347.4986831,187.7266645,10,5.324003814,8.966587198,30.8965584
353,N73c,6,1,1,0,2,2,0,0,0,0,0,1,1,1,2,2,,,0,0,2,2,1,1,,,6,6,,353,,Schellingwoude Noord,N73,N,368544,3.63E+12,N Noord,N73c Schellingwoude Noord,Schellingwoude Noord,6,1,1,0,2,2,0,0,0,0,0,1,5,6,1,1,0,2,2,,,,
354,N73e,25,2,10,3,8,2,1,1,0,0,0,1,2,2,2,5,,,3,3,8,9,10,10,1,1,25,29,,354,,Zwarte Gouw,N73,N,1598415,3.63E+12,N Noord,N73e Zwarte Gouw,Zwarte Gouw,25,2,10,3,8,2,1,1,0,0,0,1,22,23.46491354,2,8.895090344,3,7.340000972,2.229822227,,,1,1
355,T93e,1436,240,347,277,402,170,491,107,32,12,421,218,232,551,167,285,15,30,270,670,391,848,352,697,381,696,1412,3051,8,355,18,Amsterdamse Poort,T93,T,431393,3.63E+12,T Zuidoost,T93e Amsterdamse Poort,Amsterdamse Poort,1436,240,347,277,402,170,491,107,12,32,421,218,155,1525.981634,271.3037438,333.9617775,311.7046427,432.2362679,176.7752025,9.163403677,16.63978867,84.46406355,400.0132728
356,T93f,1623,412,480,346,325,60,380,120,63,27,546,187,396,546,59,91,25,36,325,449,306,485,464,571,247,359,1550,2142,12,356,17,Hoptille,T93,T,203619,3.63E+12,T Zuidoost,T93f Hoptille,Hoptille,1623,412,480,346,325,60,380,120,27,63,546,187,300,1498.171227,372.8029995,464.6843848,309.7864055,292.8365629,58.06087452,11.6205578,26.27162972,79.27387786,233.9393114
357,N73h,481,100,50,73,138,120,3,0,0,0,13,34,99,110,118,124,,,73,79,136,149,45,50,2,2,471,512,,357,,Zunderdorp,N73,N,8864673,3.63E+12,N Noord,N73h Zunderdorp,Zunderdorp,481,100,50,73,138,120,3,0,0,0,13,34,431,482.0711376,101.1479262,47.34351529,74.36709926,139.4884233,119.7241736,,,,2
358,N73j,8,0,2,3,1,2,0,0,0,0,0,2,0,0,2,2,,,3,3,1,1,2,2,,,8,8,,358,,Noorderstrook Oost,N73,N,479282,3.63002E+12,N Noord,N73j Noorderstrook Oost,Noorderstrook Oost,8,0,2,3,1,2,0,0,0,0,0,2,6,8,0,2,3,1,2,,,,
359,N74a,115,35,4,22,31,23,0,0,0,0,5,18,19,52,28,52,,,18,29,23,61,5,11,,,93,205,,359,,Nintemanterrein,N74,N,39008,3.63E+12,N Noord,N74a Nintemanterrein,Nintemanterrein,115,35,4,22,31,23,0,0,0,0,5,18,92,108.5975871,27.64917385,5.799014688,20.94031909,27.7598104,26.44926909,,,,
360,N74b,348,38,131,83,73,23,30,6,23,18,78,49,54,87,27,71,11,17,88,133,86,132,131,174,17,22,386,597,6,360,14,Elzenhagen Zuid,N74,N,312694,3.63E+12,N Noord,N74b Elzenhagen Zuid,Elzenhagen Zuid,348,38,131,83,73,23,30,6,18,23,78,49,144,372.9831471,46.41087539,131.6433464,86.9285872,81.52747651,26.47286166,6.032346487,11.29954816,3.008086622,17.29550485
361,N74c,2390,768,210,649,576,187,187,31,141,132,263,355,768,771,187,197,48,48,649,650,576,580,210,211,90,90,2390,2409,60,361,60,Elzenhagen Noord,N74,N,509174,3.63E+12,N Noord,N74c Elzenhagen Noord,Elzenhagen Noord,2390,768,210,649,576,187,187,31,132,141,263,355,1281,2390.294687,767.382971,209.8587215,648.4068582,575.7132518,188.9328843,59.98992749,47.99717318,13.99905773,89.96062161
362,T92a,20,1,11,8,0,0,0,0,0,1,9,10,1,12,0,1,,,8,17,0,12,11,21,,11,20,63,1,362,1,Hoofdcentrum Zuidoost,T92,T,342131,3.63E+12,T Zuidoost,T92a Hoofdcentrum Zuidoost,Hoofdcentrum Zuidoost,20,1,11,8,0,0,0,0,1,0,9,10,0,20.11613292,1.034006593,11.01964029,8.024231295,0.037318605,0.00093614,1,,0.004887649,0.030055084
363,T92b,51,2,20,21,8,0,0,0,0,6,6,32,2,2,0,0,,,21,23,8,9,20,20,,,51,54,6,363,6,Amstel III deel A/B Noord,T92,T,799554,3.63E+12,T Zuidoost,T92b Amstel III deel A/B Noord,Amstel III deel A/B Noord,51,2,20,21,8,0,0,0,6,0,6,32,7,52.16181206,2,19.99989648,21.77685191,8.385063671,0,6,,,
364,T93g,3107,826,531,596,902,252,779,156,65,28,1494,248,820,1063,245,303,39,52,599,819,889,1199,538,638,567,779,3091,4022,13,364,18,Rechte H-buurt,T93,T,196192,3.63E+12,T Zuidoost,T93g Rechte H-buurt,Rechte H-buurt,3107,826,531,596,902,252,779,156,28,65,1494,248,337,3058.115268,815.8457439,521.0814915,598.9854012,887.4045496,234.7980815,13.34391211,37.1836083,134.6603887,573.8314355
